Model,Scenario,mAP50_95
YOLOv8n,Normal,67.4
YOLOv8n,LowLight,60.8
YOLOv8n,Smoke,58.2
YOLOv8n,Blur,61.5
YOLOv8n,Occlusion,56.9
YOLOv10n,Normal,69.1
YOLOv10n,LowLight,63.4
YOLOv10n,Smoke,60.6
YOLOv10n,Blur,64.2
YOLOv10n,Occlusion,59.8
RT-DETR,Normal,70.2
RT-DETR,LowLight,64.8
RT-DETR,Smoke,62.1
RT-DETR,Blur,65.6
RT-DETR,Occlusion,61.0
Model-X,Normal,69.8
Model-X,LowLight,65.1
Model-X,Smoke,62.9
Model-X,Blur,66.0
Model-X,Occlusion,61.7
Ours,Normal,72.8
Ours,LowLight,69.5
Ours,Smoke,67.8
Ours,Blur,70.1
Ours,Occlusion,66.9
